,iter,temp,growth,o2flux,gluFlux,co2flux,acetateFlux,R2,MSE
0,1,20.153299075508016,0.29211640702503106,8.94831459200252,7.551705486449589,-7.561528092422457,-0.8116724696813272,-1.8720849490393539,0.44201803146195145
1,1,23.00151111308503,0.3796229136163389,11.185748897315609,8.521313673547782,-9.988728584218887,-0.7343427234480873,-1.8720849490393539,0.44201803146195145
2,1,26.331896319367047,0.48112384679161513,13.559607464548222,9.380210344368232,-12.828594470494032,-1.3042504225656468,-1.8720849490393539,0.44201803146195145
3,1,28.251819864188008,0.5356553354102669,14.427916442082799,8.996895105058453,-14.53133426147707,-2.4920888478406305,-1.8720849490393539,0.44201803146195145
4,1,29.99421176442104,0.5799737737825059,15.189800196507905,9.012436976950305,-15.865406930132522,-3.8284504344211716,-1.8720849490393539,0.44201803146195145
5,1,31.62212188446705,0.6084352978677131,15.148116162387112,8.716975974345642,-16.446392054583107,-5.439002965724608,-1.8720849490393539,0.44201803146195145
6,1,33.61728633658504,0.5708184919442116,13.518585682055473,8.223227620611729,-14.736595040664348,-5.584778104681444,-1.8720849490393539,0.44201803146195145
7,1,36.55299482796005,0.5031199211496663,13.138484227275766,6.724892712608952,-14.21203874786532,-2.7416308341342477,-1.8720849490393539,0.44201803146195145
8,1,38.54155004207803,0.4522483984664685,12.604514504277946,5.823190412506323,-13.569519649559467,-1.4019711875295742,-1.8720849490393539,0.44201803146195145
9,1,40.20094365636703,0.40858307617178125,11.646323923723935,5.317065566424564,-12.518156244452435,-1.305551752956384,-1.8720849490393539,0.44201803146195145
10,1,42.23876395989504,0.35308188466727897,10.404954312974683,4.677129332237385,-11.158358496527347,-1.2048581046512403,-1.8720849490393539,0.44201803146195145
11,1,44.453491097574044,0.28989599188969395,8.966103192298355,3.9502931056773125,-9.584681665364654,-1.1081400224296138,-1.8720849490393539,0.44201803146195145
12,1,45.28989924561603,0.2676563518306408,8.45448011064769,3.697251714459343,-9.025603762073978,-1.085045140761406,-1.8720849490393539,0.44201803146195145
13,1,46.64533098816804,0.23374767779332584,7.671508990751264,3.317111113878756,-8.170278500014449,-1.0634230980869726,-1.8720849490393539,0.44201803146195145
14,1,48.47717620988101,0.1923586955847242,6.821369492993166,2.869185607892784,-7.231823419659026,-1.0392860049521062,-1.8720849490393539,0.44201803146195145
0,2,20.153299075508016,0.27363109676126907,8.640234473607835,7.760400647017549,-6.872854694154233,-0.12071514285832248,-1.9698186551412413,0.4570593903162871
1,2,23.00151111308503,0.3590994274141753,10.680939093034704,7.952029817398448,-9.528560127431263,-0.20920270802524035,-1.9698186551412413,0.4570593903162871
2,2,26.331896319367047,0.4609296548880183,13.1953265118978,8.58279797758237,-12.594754202037013,-0.48537650279270883,-1.9698186551412413,0.4570593903162871
3,2,28.251819864188008,0.5168772443236642,14.333193847096943,10.163484089817777,-13.4786136173677,-1.3967947269052199,-1.9698186551412413,0.4570593903162871
4,2,29.99421176442104,0.5632632281184807,15.479069738353752,9.861734683661057,-15.350964941530336,-2.3674832185038954,-1.9698186551412413,0.4570593903162871
5,2,31.62212188446705,0.5965446390895324,15.832551811466885,9.600424859010474,-16.3533871032869,-3.867509215520494,-1.9698186551412413,0.4570593903162871
6,2,33.61728633658504,0.5568909449886243,13.257766344720169,7.908343321983415,-14.4460571802367,-5.071270647487126,-1.9698186551412413,0.4570593903162871
7,2,36.55299482796005,0.4875232921890404,13.250234879598478,6.273956878173648,-14.290509399093366,-1.6697240525377959,-1.9698186551412413,0.4570593903162871
8,2,38.54155004207803,0.4363794547214473,12.23386717308148,5.6315969515847435,-13.165011253479117,-1.355170577129734,-1.9698186551412413,0.4570593903162871
9,2,40.20094365636703,0.39295141526295935,11.274762593755968,5.132359693824203,-12.113240162411309,-1.2747472884620512,-1.9698186551412413,0.4570593903162871
10,2,42.23876395989504,0.3403809120231373,10.093603368416705,4.533602907775474,-10.819906286396678,-1.2042048087021708,-1.9698186551412413,0.4570593903162871
11,2,44.453491097574044,0.2802840070571262,8.720005945568687,3.8508153179195324,-9.318074418265125,-1.1344642633125224,-1.9698186551412413,0.4570593903162871
12,2,45.28989924561603,0.25843823464652854,8.215232498311376,3.603469921506297,-8.766686581989866,-1.1169831020004586,-1.9698186551412413,0.4570593903162871
13,2,46.64533098816804,0.22473127221715358,7.431531333368541,3.224405735328137,-7.911061686003503,-1.1001738138283612,-1.9698186551412413,0.4570593903162871
14,2,48.47717620988101,0.18338875352338876,6.56249828852957,2.8872440021912835,-6.953812202159627,-1.4167705636021033,-1.9698186551412413,0.4570593903162871
0,3,20.153299075508016,0.2846910932677305,8.15054617283677,5.667026190365824,-7.776989998188771,-1.3769167104400348,-1.8040447019184302,0.43154653893084277
1,3,23.00151111308503,0.3695700339116659,10.365428992891536,7.461019223419586,-9.688539776393133,-1.1596529480531934,-1.8040447019184302,0.43154653893084277
2,3,26.331896319367047,0.4712972680202579,12.91124042471445,8.917461476266514,-12.337138866842452,-1.4308290586551116,-1.8040447019184302,0.43154653893084277
3,3,28.251819864188008,0.5265617527942209,14.234254667701164,8.821389467953079,-14.322217298819888,-2.2811936820917884,-1.8040447019184302,0.43154653893084277
4,3,29.99421176442104,0.571926535571817,15.276950750137457,9.733306867723433,-15.409128098342329,-3.2260623146438565,-1.8040447019184302,0.43154653893084277
5,3,31.62212188446705,0.608569486116105,15.80078529037532,10.114030270124939,-16.247753702124122,-4.616353554857706,-1.8040447019184302,0.43154653893084277
6,3,33.61728633658504,0.5775363036523548,13.520899628340853,8.398721581505399,-14.753243416624542,-5.965046150770666,-1.8040447019184302,0.43154653893084277
7,3,36.55299482796005,0.5126300148557333,13.174961622218456,6.9416418690599935,-14.26880872845257,-3.1682893485153136,-1.8040447019184302,0.43154653893084277
8,3,38.54155004207803,0.463107082754877,12.85294292830955,5.9689912629005235,-13.84111827440297,-1.4806893223364157,-1.8040447019184302,0.43154653893084277
9,3,40.20094365636703,0.42021406295344244,11.890853998410256,5.475868144036067,-12.787504454762924,-1.4085480134677681,-1.8040447019184302,0.43154653893084277
10,3,42.23876395989504,0.36739562907012674,10.703993475534553,4.875073057853966,-11.487940248168451,-1.3400948172837082,-1.8040447019184302,0.43154653893084277
11,3,44.453491097574044,0.3069837235052963,9.323367265388503,4.189436726831762,-9.978407446193643,-1.2715677615728613,-1.8040447019184302,0.43154653893084277
12,3,45.28989924561603,0.2839800854501211,8.79223732333602,3.9278031435023038,-9.39819246777904,-1.2494260652493492,-1.8040447019184302,0.43154653893084277
13,3,46.64533098816804,0.24786056800346973,7.953717044638073,3.5187962933422354,-8.482600561410726,-1.2223426191773568,-1.8040447019184302,0.43154653893084277
14,3,48.47717620988101,0.2038380249365806,7.065458900370102,3.007605421978231,-7.500407356870662,-1.084389790193485,-1.8040447019184302,0.43154653893084277
0,4,20.153299075508016,0.27707295640596985,8.70276002927037,7.778250451001508,-6.960635088751101,-0.16141605465116443,-1.8136823080807134,0.4330297804712028
1,4,23.00151111308503,0.36583560474469606,10.76622984444564,7.7272723606022256,-9.79826252220301,-0.28204067062819466,-1.8136823080807134,0.4330297804712028
2,4,26.331896319367047,0.4756886944945408,13.231063888957948,8.48405734975399,-12.861296054721791,-0.9488102939817883,-1.8136823080807134,0.4330297804712028
3,4,28.251819864188008,0.5336185703303179,14.486098685500364,9.886972036712457,-14.025388080681239,-2.0991217166967986,-1.8136823080807134,0.4330297804712028
4,4,29.99421176442104,0.5781790054175304,15.508835044142517,9.494486060312525,-15.823593431059354,-3.190231729173404,-1.8136823080807134,0.4330297804712028
