,iter,temp,growth,o2flux,gluFlux,co2flux,acetateFlux,R2,MSE
0,0,20.153299075508016,0.28323010325135156,8.762944021374688,6.803366498818655,-7.597958958709032,-0.17560323816794404,-1.8529782324450288,0.43907748011804026
1,0,23.00151111308503,0.371152295831793,10.949224450096908,8.068019598654079,-9.842009124234064,-0.26972242587800116,-1.8529782324450288,0.43907748011804026
2,0,26.331896319367047,0.47285221705963104,12.980764584643962,7.729947400548639,-13.034589897028326,-1.2359286352250833,-1.8529782324450288,0.43907748011804026
3,0,28.251819864188008,0.5280063419517739,14.029682055822237,8.198649651849252,-14.492594526681614,-2.529338316076175,-1.8529782324450288,0.43907748011804026
4,0,29.99421176442104,0.5732107018590162,14.930562792721874,8.223828705107941,-15.96308639056211,-3.780691766764487,-1.8529782324450288,0.43907748011804026
5,0,31.62212188446705,0.6096189996137202,15.154913041269975,8.973427902517795,-16.337601935883804,-5.5297805316328486,-1.8529782324450288,0.43907748011804026
6,0,33.61728633658504,0.5725100724398371,13.38983718089708,8.286042926341759,-14.611456024663777,-5.801072187524998,-1.8529782324450288,0.43907748011804026
7,0,36.55299482796005,0.5053888711738755,13.109657083937961,6.782982920528885,-14.18805307761006,-2.8813218770107976,-1.8529782324450288,0.43907748011804026
8,0,38.54155004207803,0.4547789238176008,12.65857680436055,5.857776375937544,-13.628981570718471,-1.4240566120885338,-1.8529782324450288,0.43907748011804026
9,0,40.20094365636703,0.41125036352598476,11.701750165818474,5.355358890071205,-12.579273929633214,-1.335124202420991,-1.8529782324450288,0.43907748011804026
10,0,42.23876395989504,0.3579837016379574,10.509679592633308,4.74587134305709,-11.273543246278027,-1.2528771798367018,-1.8529782324450288,0.43907748011804026
11,0,44.453491097574044,0.2966256394671812,9.111224708563809,4.045490898450986,-9.744162866617867,-1.169678233778288,-1.8529782324450288,0.43907748011804026
12,0,45.28989924561603,0.27412125655672054,8.594420778461451,3.7902571911823273,-9.179339208035286,-1.1487824011271248,-1.8529782324450288,0.43907748011804026
